127.0.0.1 - - [17/Nov/2014:17:41:50 +0100] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:41:53 +0100] "GET /PTCTest/register HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:42:01 +0100] "GET /PTC/register HTTP/1.1" 200 3
192.168.1.37 - - [17/Nov/2014:17:42:49 +0100] "POST /PTC/register HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:45:19 +0100] "POST /PTC/register HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:47:02 +0100] "POST /PTC/askforpass HTTP/1.1" 200 13
192.168.1.37 - - [17/Nov/2014:17:47:03 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:47:22 +0100] "POST /PTC/askforpass HTTP/1.1" 200 12
192.168.1.37 - - [17/Nov/2014:17:47:22 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:48:30 +0100] "POST /PTC/askforpass HTTP/1.1" 200 9
192.168.1.37 - - [17/Nov/2014:17:48:30 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:48:52 +0100] "POST /PTC/askforpass HTTP/1.1" 200 9
192.168.1.37 - - [17/Nov/2014:17:48:52 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:48:56 +0100] "POST /PTC/askforpass HTTP/1.1" 200 9
192.168.1.37 - - [17/Nov/2014:17:48:56 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:49:02 +0100] "POST /PTC/askforpass HTTP/1.1" 200 9
192.168.1.37 - - [17/Nov/2014:17:49:02 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:49:15 +0100] "GET /PTC/askforpass HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:51:42 +0100] "GET /PTC/register HTTP/1.1" 200 441
192.168.1.35 - - [17/Nov/2014:17:51:44 +0100] "POST /PTC/register HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:51:47 +0100] "GET /PTC/register HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:52:03 +0100] "POST /PTC/askforpass HTTP/1.1" 200 15
192.168.1.37 - - [17/Nov/2014:17:52:04 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:53:18 +0100] "POST /PTC/askforpass HTTP/1.1" 200 15
192.168.1.35 - - [17/Nov/2014:17:53:18 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Nov/2014:17:53:43 +0100] "POST /PTC/askforpass HTTP/1.1" 200 15
192.168.1.37 - - [17/Nov/2014:17:53:43 +0100] "POST /PTC/response HTTP/1.1" 200 4
